id,label
cnd5,cnd5
mn79,mn79
ya7.2.5,ya7.2.5
an4.163,an4.163
thi-ap9,thi-ap9
thi-ap15,thi-ap15
tha-ap342,tha-ap342
dn2,dn2
sn51.7,sn51.7
tha-ap548,tha-ap548
thi-ap33,thi-ap33
tha-ap8,tha-ap8
an5.42,an5.42
tha-ap330,tha-ap330
kv16.10,kv16.10
tha-ap57,tha-ap57
tha-ap425,tha-ap425
tha-ap42,tha-ap42
tha-ap341,tha-ap341
tha-ap503,tha-ap503
tha-ap558,tha-ap558
ja538,ja538
mn27,mn27
sn35.117,sn35.117
kv2.1,kv2.1
mnd9,mnd9
ud5.4,ud5.4
mn78,mn78
mn149,mn149
ud2.3,ud2.3
ud7.4,ud7.4
ud6.4,ud6.4
patthana1.1,patthana1.1
ud1.10,ud1.10
pe2,pe2
mnd8,mnd8
pv19,pv19
patthana17.23,patthana17.23
sn10.5,sn10.5
mn101,mn101
sn35.237,sn35.237
patthana18.26,patthana18.26
sn35.229,sn35.229
sn46.3,sn46.3
thag3.7,thag3.7
ud7.10,ud7.10
sn11.21,sn11.21
sn4.22,sn4.22
sn4.23,sn4.23
an9.8,an9.8
sn4.21,sn4.21
an9.4,an9.4
ya10.2.1,ya10.2.1
sn17.23,sn17.23
sn51.16,sn51.16
sn47.20,sn47.20
ja301,ja301
an4.21,an4.21
sn4.11,sn4.11
ja536,ja536
an3.36,an3.36
tha-ap545,tha-ap545
sn4.6,sn4.6
thag1.46,thag1.46
sn2.4,sn2.4
sn24.13,sn24.13
sn1.26,sn1.26
sn15.6,sn15.6
iti49,iti49
sn1.76,sn1.76
sn8.3,sn8.3
bv4,bv4
ja57,ja57
patthana23.54,patthana23.54
ja242,ja242
ja244,ja244
ja248,ja248
an3.92,an3.92
ja241,ja241
sn55.52,sn55.52
ja198,ja198
sn12.32,sn12.32
ja210,ja210
patthana1.17,patthana1.17
ja206,ja206
cp26,cp26
ja401,ja401
cp23,cp23
patthana2.2,patthana2.2
cp8,cp8
cp9,cp9
mil6.3.1,mil6.3.1
cp22,cp22
kp2,kp2
sn17.12,sn17.12
an4.82,an4.82
vb14,vb14
ja484,ja484
ja384,ja384
sn11.16,sn11.16
kv17.9,kv17.9
sn45.180,sn45.180
vv44,vv44
sn48.25,sn48.25
an5.131,an5.131
kv12.8,kv12.8
mil3.4.3,mil3.4.3
mn115,mn115
vb16,vb16
kv12.9,kv12.9
an1.268-277,an1.268-277
patthana1.16,patthana1.16
patthana1.2,patthana1.2
patthana1.3,patthana1.3
kv12.5,kv12.5
dn24,dn24
kv2.7,kv2.7
ud5.5,ud5.5
an8.19,an8.19
bv25,bv25
mil7.3.10,mil7.3.10
cp21,cp21
cp24,cp24
dn23,dn23
mn57,mn57
pp2.1,pp2.1
tha-ap498,tha-ap498
sn22.87,sn22.87
patthana21.12,patthana21.12
mil3.3.11,mil3.3.11
mil3.3.9,mil3.3.9
mil3.3.14,mil3.3.14
mil3.3.13,mil3.3.13
mil3.3.10,mil3.3.10
mil3.3.12,mil3.3.12
ja535,ja535
mil6.1.5,mil6.1.5
an3.63,an3.63
ya3.2.2,ya3.2.2
mil3.3.6,mil3.3.6
an10.212,an10.212
patthana1.21,patthana1.21
patthana4.1,patthana4.1
patthana2.10,patthana2.10
patthana3.1,patthana3.1
mn135,mn135
sn1.31,sn1.31
patthana2.1,patthana2.1
patthana1.7,patthana1.7
patthana1.5,patthana1.5
patthana1.6,patthana1.6
patthana1.9,patthana1.9
patthana2.13,patthana2.13
patthana1.10,patthana1.10
patthana1.23,patthana1.23
patthana1.11,patthana1.11
patthana1.20,patthana1.20
snp3.5,snp3.5
mnd2,mnd2
patthana2.4,patthana2.4
sn34.13,sn34.13
mil7.2.2,mil7.2.2
an6.54,an6.54
dt2.1,dt2.1
sn35.231,sn35.231
snp5.2,snp5.2
patthana7.20,patthana7.20
patthana1.12,patthana1.12
patthana1.4,patthana1.4
sn35.142,sn35.142
ud7.8,ud7.8
pli-tv-pvr1.2,pli-tv-pvr1.2
ja291,ja291
an5.76,an5.76
pv42,pv42
patthana19.15,patthana19.15
vv33,vv33
an11.2,an11.2
patthana16.44,patthana16.44
patthana1.18,patthana1.18
patthana2.5,patthana2.5
patthana2.8,patthana2.8
an6.70,an6.70
mn52,mn52
pli-tv-pvr4,pli-tv-pvr4
ja534,ja534
patthana23.18,patthana23.18
patthana2.3,patthana2.3
kv7.6,kv7.6
mn11,mn11
ne17,ne17
an7.71,an7.71
cnd2,cnd2
patthana1.19,patthana1.19
patthana2.11,patthana2.11
patthana1.13,patthana1.13
an9.45,an9.45
cnd11,cnd11
mn20,mn20
sn55.31,sn55.31
sn54.12,sn54.12
mil4.4,mil4.4
patthana9.2,patthana9.2
tha-ap432,tha-ap432
an5.10,an5.10
tha-ap172,tha-ap172
patthana3.5,patthana3.5
sn14.13,sn14.13
ds2.3.2,ds2.3.2
mn124,mn124
patthana8.24,patthana8.24
an5.75,an5.75
ps1.2,ps1.2
sn22.56,sn22.56
kv17.3,kv17.3
patthana2.9,patthana2.9
vb9,vb9
iti44,iti44
patthana8.20,patthana8.20
vv15,vv15
mnd7,mnd7
patthana20.4,patthana20.4
patthana22.7,patthana22.7
mn26,mn26
mn91,mn91
tha-ap323,tha-ap323
patthana24.20,patthana24.20
patthana2.12,patthana2.12
an1.41-50,an1.41-50
an9.33,an9.33
mnd14,mnd14
patthana4.7,patthana4.7
patthana5.1,patthana5.1
tha-ap169,tha-ap169
an8.62,an8.62
sn22.101,sn22.101
an3.133,an3.133
pli-tv-pvr2.15,pli-tv-pvr2.15
mil6.2.2,mil6.2.2
an4.244,an4.244
kv22.8,kv22.8
an6.47,an6.47
an4.78,an4.78
an4.258,an4.258
tha-ap540,tha-ap540
sn7.20,sn7.20
ja250,ja250
patthana8.21,patthana8.21
sn22.150,sn22.150
tha-ap26,tha-ap26
sn36.6,sn36.6
an1.21-30,an1.21-30
patthana9.6,patthana9.6
vv56,vv56
an10.65,an10.65
an6.74,an6.74
iti70,iti70
an10.17,an10.17
tha-ap522,tha-ap522
patthana3.8,patthana3.8
ud3.5,ud3.5
ya7.2.2,ya7.2.2
tha-ap409,tha-ap409
sn45.36,sn45.36
sn19.17,sn19.17
an3.151,an3.151
sn45.1,sn45.1
kv21.7,kv21.7
tha-ap217,tha-ap217
sn56.41,sn56.41
patthana8.1,patthana8.1
ds1.2,ds1.2
cnd9,cnd9
vb1,vb1
vb2,vb2
an9.13,an9.13
kv8.7,kv8.7
kv11.1,kv11.1
kv14.8,kv14.8
kv9.5,kv9.5
kv18.9,kv18.9
kv4.5,kv4.5
kv3.9,kv3.9
kv1.6,kv1.6
mn107,mn107
cnd23,cnd23
mnd10,mnd10
vb3,vb3
an9.12,an9.12
kv7.10,kv7.10
kv11.6,kv11.6
ne21,ne21
kv17.8,kv17.8
kv20.4,kv20.4
sn45.161,sn45.161
sn45.29,sn45.29
sn46.111-120,sn46.111-120
sn49.35-44,sn49.35-44
mn132,mn132
sn45.170,sn45.170
sn45.30,sn45.30
patthana9.3,patthana9.3
pe3,pe3
patthana10.11,patthana10.11
sn48.27,sn48.27
patthana1.22,patthana1.22
an4.116,an4.116
sn34.14,sn34.14
patthana11.13,patthana11.13
patthana11.14,patthana11.14
sn22.57,sn22.57
patthana23.43,patthana23.43
an6.73,an6.73
sn55.39,sn55.39
patthana11.17,patthana11.17
mnd4,mnd4
patthana7.8,patthana7.8
cnd14,cnd14
patthana14.15,patthana14.15
patthana18.24,patthana18.24
patthana16.32,patthana16.32
kv9.7,kv9.7
thag2.27,thag2.27
thag1.45,thag1.45
patthana14.34,patthana14.34
patthana3.4,patthana3.4
patthana15.67,patthana15.67
patthana16.25,patthana16.25
patthana8.71,patthana8.71
an4.241,an4.241
mil6.2.9,mil6.2.9
mil6.2.4,mil6.2.4
thag1.109,thag1.109
ud1.2,ud1.2
mil6.2.10,mil6.2.10
mil6.2.6,mil6.2.6
mil6.2.5,mil6.2.5
mil7.6.5,mil7.6.5
mil5.5.2,mil5.5.2
mil5.2.2,mil5.2.2
an7.42,an7.42
dn8,dn8
mil3.1.1,mil3.1.1
mil5.3.6,mil5.3.6
mil5.4.6,mil5.4.6
mil6.1.8,mil6.1.8
ud5.3,ud5.3
mil6.3.6,mil6.3.6
thag2.5,thag2.5
an6.18,an6.18
an6.20,an6.20
mn111,mn111
pli-tv-pvr15,pli-tv-pvr15
ya10.3.2,ya10.3.2
an6.16,an6.16
an6.17,an6.17
an6.14,an6.14
an6.15,an6.15
an5.180,an5.180
an7.72,an7.72
pe5,pe5
sn42.9,sn42.9
ud4.3,ud4.3
sn55.24,sn55.24
mn147,mn147
an8.30,an8.30
sn35.241,sn35.241
an4.48,an4.48
an5.178,an5.178
mn60,mn60
sn37.28,sn37.28
sn37.34,sn37.34
an8.2,an8.2
sn37.32,sn37.32
an7.22,an7.22
sn37.26,sn37.26
an5.8,an5.8
sn37.27,sn37.27
an5.20,an5.20
sn37.30,sn37.30
pe1,pe1
an5.109,an5.109
sn47.1,sn47.1
an5.63,an5.63
tha-ap22,tha-ap22
an5.40,an5.40
an3.48,an3.48
an10.80,an10.80
an9.30,an9.30
vb17,vb17
mn47,mn47
mn65,mn65
mnd11,mnd11
pli-tv-pvr21,pli-tv-pvr21
an6.116,an6.116
an6.109,an6.109
an6.108,an6.108
sn45.168,sn45.168
sn45.166,sn45.166
sn12.55,sn12.55
sn12.66,sn12.66
sn12.49,sn12.49
sn7.21,sn7.21
mil3.3.4,mil3.3.4
sn48.17,sn48.17
sn36.20,sn36.20
sn48.37,sn48.37
dn15,dn15
sn35.31,sn35.31
sn22.88,sn22.88
sn36.7,sn36.7
sn54.8,sn54.8
vb7,vb7
an6.67,an6.67
thi-ap6,thi-ap6
sn36.8,sn36.8
tha-ap562,tha-ap562
mn75,mn75
sn22.66,sn22.66
sn22.67,sn22.67
sn22.69,sn22.69
sn35.76,sn35.76
sn35.162,sn35.162
patthana16.20,patthana16.20
an5.113,an5.113
an5.139,an5.139
an5.85,an5.85
an6.5,an6.5
an6.7,an6.7
an5.203,an5.203
sn51.22,sn51.22
snp5.18,snp5.18
sn22.129,sn22.129
an6.60,an6.60
an6.56,an6.56
pp2.5,pp2.5
tha-ap429,tha-ap429
ja516,ja516
bv2,bv2
sn8.6,sn8.6
ps2.4,ps2.4
thag21.1,thag21.1
tha-ap56,tha-ap56
tha-ap147,tha-ap147
tha-ap418,tha-ap418
tha-ap501,tha-ap501
tha-ap19,tha-ap19
sn15.20,sn15.20
dn16,dn16
sn1.11,sn1.11
tha-ap500,tha-ap500
tha-ap25,tha-ap25
sn36.31,sn36.31
an9.34,an9.34
kv5.6,kv5.6
kv8.4,kv8.4
an3.25,an3.25
cnd19,cnd19
mil3.7.1,mil3.7.1
mn25,mn25
an2.11-20,an2.11-20
an7.4,an7.4
sn48.10,sn48.10
ps3.6,ps3.6
an1.11-20,an1.11-20
vv54,vv54
ja545,ja545
vv67,vv67
vv70,vv70
vv59,vv59
vv77,vv77
vv8,vv8
an4.107,an4.107
pli-tv-pvr5,pli-tv-pvr5
pv15,pv15
mn33,mn33
sn48.52,sn48.52
vv60,vv60
ja543,ja543
mn81,mn81
vv1,vv1
kv8.3,kv8.3
an6.63,an6.63
sn1.34,sn1.34
an6.102,an6.102
an6.104,an6.104
an6.103,an6.103
mn17,mn17
pv16,pv16
ya3.2.1,ya3.2.1
an8.74,an8.74
an3.40,an3.40
sn35.121,sn35.121
ja532,ja532
an10.68,an10.68
mn39,mn39
tha-ap538,tha-ap538
an6.37,an6.37
an4.80,an4.80
tha-ap543,tha-ap543
an10.94,an10.94
ud2.8,ud2.8
an5.144,an5.144
an4.190,an4.190
mn67,mn67
mn94,mn94
mn68,mn68
mn53,mn53
sn35.243,sn35.243
an5.27,an5.27
an8.90,an8.90
sn34.20-27,sn34.20-27
sn35.24,sn35.24
an3.96,an3.96
mil3.1.5,mil3.1.5
kv15.9,kv15.9
patthana3.12,patthana3.12
sn27.8,sn27.8
tha-ap102,tha-ap102
an8.55,an8.55
ja169,ja169
mn127,mn127
sn36.22,sn36.22
tha-ap477,tha-ap477
tha-ap283,tha-ap283
sn55.67,sn55.67
an3.118,an3.118
mn128,mn128
ps1.3,ps1.3
sn36.5,sn36.5
sn45.169,sn45.169
snp3.6,snp3.6
iti54,iti54
mn137,mn137
ne13,ne13
mil3.7.10,mil3.7.10
mil3.7.11,mil3.7.11
patthana6.1,patthana6.1
mil5.1.5,mil5.1.5
mil3.7.4,mil3.7.4
mil3.4.5,mil3.4.5
mil3.4.6,mil3.4.6
mil3.1.3,mil3.1.3
tha-ap502,tha-ap502
sn44.7,sn44.7
sn44.8,sn44.8
sn44.11,sn44.11
an10.96,an10.96
an10.95,an10.95
mn72,mn72
dn5,dn5
mn63,mn63
sn44.1,sn44.1
sn46.55,sn46.55
mn41,mn41
mn42,mn42
an10.220,an10.220
an5.193,an5.193
an11.7,an11.7
ya10.1.2,ya10.1.2
sn1.73,sn1.73
thig5.5,thig5.5
patthana18.9,patthana18.9
ne33,ne33
an10.45,an10.45
ne7,ne7
pv7,pv7
iti107,iti107
mn29,mn29
mn62,mn62
pv36,pv36
an5.23,an5.23
an5.191,an5.191
ya2.3.1,ya2.3.1
ya2.3.5,ya2.3.5
ya2.3.3,ya2.3.3
ya2.3.4,ya2.3.4
ya2.3.6,ya2.3.6
ya2.3.2,ya2.3.2
iti10,iti10
sn46.13,sn46.13
sn45.49,sn45.49
sn45.50-54,sn45.50-54
sn45.55,sn45.55
sn56.37,sn56.37
an10.121,an10.121
patthana21.45,patthana21.45
dn12,dn12
sn46.31,sn46.31
sn46.49,sn46.49
sn46.50,sn46.50
an4.143,an4.143
an4.145,an4.145
an4.110,an4.110
sn46.54,sn46.54
sn45.174,sn45.174
an4.146,an4.146
an4.109,an4.109
an4.144,an4.144
an4.142,an4.142
an4.141,an4.141
an5.81,an5.81
an5.82,an5.82
an5.111,an5.111
an5.83,an5.83
an5.84,an5.84
an5.166,an5.166
an5.232,an5.232
an5.87,an5.87
ja459,ja459
ud4.6,ud4.6
ja457,ja457
ja458,ja458
ja456,ja456
ja455,ja455
bv16,bv16
ds2.1.8,ds2.1.8
sn12.6,sn12.6
an8.43,an8.43
tha-ap530,tha-ap530
an3.6,an3.6
an3.146,an3.146
an3.2,an3.2
an3.4,an3.4
an7.50,an7.50
ps1.5,ps1.5
thag16.5,thag16.5
thag1.99,thag1.99
cnd16,cnd16
thag5.10,thag5.10
ja375,ja375
ja373,ja373
kv1.4,kv1.4
ja274,ja274
ja275,ja275
sn35.244,sn35.244
sn6.2,sn6.2
sn2.6,sn2.6
mn38,mn38
sn2.5,sn2.5
pli-tv-pvr11,pli-tv-pvr11
mn76,mn76
patthana22.6,patthana22.6
sn47.12,sn47.12
sn15.13,sn15.13
an7.43,an7.43
an8.54,an8.54
dn9,dn9
iti45,iti45
patthana13.21,patthana13.21
tha-ap74,tha-ap74
kv19.5,kv19.5
snp1.7,snp1.7
mn104,mn104
an4.5,an4.5
ps3.1,ps3.1
ne2,ne2
dn25,dn25
an10.132,an10.132
sn54.10,sn54.10
kv4.4,kv4.4
sn45.4,sn45.4
an4.235,an4.235
mn119,mn119
sn19.1,sn19.1
thi-ap10,thi-ap10
an4.56,an4.56
an7.60,an7.60
an6.42,an6.42
mil3.5.9,mil3.5.9
patthana16.2,patthana16.2
mil3.6.1,mil3.6.1
sn35.195-197,sn35.195-197
sn35.213-215,sn35.213-215
kv9.4,kv9.4
sn35.10,sn35.10
sn35.5,sn35.5
sn35.6,sn35.6
thi-ap32,thi-ap32
ds2.1.2,ds2.1.2
ja489,ja489
mn35,mn35
sn22.16,sn22.16
sn22.76,sn22.76
sn35.206,sn35.206
sn46.26,sn46.26
mil5.5.11,mil5.5.11
sn35.79,sn35.79
sn35.80,sn35.80
sn35.75,sn35.75
sn35.83,sn35.83
sn35.53,sn35.53
sn35.165,sn35.165
sn35.54,sn35.54
patthana17.29,patthana17.29
sn35.167,sn35.167
dn18,dn18
an10.120,an10.120
an10.122,an10.122
mil6.1.3,mil6.1.3
an10.117,an10.117
sn13.6,sn13.6
an10.118,an10.118
kv20.5,kv20.5
tha-ap435,tha-ap435
kv13.9,kv13.9
kv13.10,kv13.10
kv14.6,kv14.6
kv10.7,kv10.7
ja419,ja419
sn18.8,sn18.8
kv17.11,kv17.11
pli-tv-pvr2.9,pli-tv-pvr2.9
ps2.6,ps2.6
sn22.31,sn22.31
sn56.11,sn56.11
sn56.13,sn56.13
sn56.14,sn56.14
sn7.12,sn7.12
sn7.17,sn7.17
sn7.22,sn7.22
pv8,pv8
sn41.3,sn41.3
sn41.6,sn41.6
ja469,ja469
sn38.12,sn38.12
sn41.9,sn41.9
an10.15,an10.15
sn41.4,sn41.4
cnd7,cnd7
vv64,vv64
ya6.1.1,ya6.1.1
patthana1.8,patthana1.8
kv15.7,kv15.7
mn43,mn43
an10.85,an10.85
an10.72,an10.72
kv6.5,kv6.5
pe8,pe8
sn35.66,sn35.66
sn35.73,sn35.73
sn35.68,sn35.68
sn16.13,sn16.13
patthana19.8,patthana19.8
sn35.64,sn35.64
thi-ap17,thi-ap17
an5.162,an5.162
mil5.2.8,mil5.2.8
tha-ap526,tha-ap526
mn146,mn146
sn18.11,sn18.11
sn35.108,sn35.108
bv13,bv13
mn92,mn92
an3.88,an3.88
bv20,bv20
bv17,bv17
bv12,bv12
bv6,bv6
bv23,bv23
sn1.37,sn1.37
bv14,bv14
tha-ap344,tha-ap344
bv26,bv26
mil5.1.9,mil5.1.9
bv11,bv11
bv9,bv9
thag1.41,thag1.41
bv10,bv10
bv18,bv18
bv29,bv29
an10.148,an10.148
an10.192,an10.192
mn152,mn152
an4.206,an4.206
an5.34,an5.34
ja460,ja460
an10.179,an10.179
patthana16.13,patthana16.13
sn35.28,sn35.28
sn22.89,sn22.89
an7.25,an7.25
an7.30,an7.30
an7.27,an7.27
mil7.5.8,mil7.5.8
sn35.63,sn35.63
vb12,vb12
an7.21,an7.21
snp2.2,snp2.2
an6.21,an6.21
thig15.1,thig15.1
an10.24,an10.24
an10.70,an10.70
mn32,mn32
an5.66,an5.66
pp2.4,pp2.4
an5.107,an5.107
an5.18,an5.18
an5.19,an5.19
sn45.151,sn45.151
sn46.1,sn46.1
sn45.158,sn45.158
an5.158,an5.158
sn45.155,sn45.155
sn45.150,sn45.150
sn45.152,sn45.152
sn45.160,sn45.160
an10.51,an10.51
an10.54,an10.54
an10.52,an10.52
an10.53,an10.53
mn40,mn40
mn15,mn15
an3.76,an3.76
mn151,mn151
an4.93,an4.93
an4.94,an4.94
pp1.4,pp1.4
an10.48,an10.48
mn114,mn114
dn21,dn21
sn1.64,sn1.64
sn35.106,sn35.106
vv17,vv17
an9.36,an9.36
an11.3,an11.3
an5.24,an5.24
an11.4,an11.4
an5.168,an5.168
an8.81,an8.81
cnd21,cnd21
an10.4,an10.4
an10.5,an10.5
pp2.3,pp2.3
tha-ap149,tha-ap149
ja531,ja531
tha-ap37,tha-ap37
tha-ap385,tha-ap385
an7.16,an7.16
an7.19,an7.19
an7.95,an7.95
kv9.1,kv9.1
ja546,ja546
sn12.10,sn12.10
dn14,dn14
sn12.65,sn12.65
sn22.72,sn22.72
patthana24.4,patthana24.4
an4.199,an4.199
sn22.45,sn22.45
sn17.36,sn17.36
mnd16,mnd16
an5.33,an5.33
an10.145,an10.145
ds2.2.2,ds2.2.2
sn48.30,sn48.30
an8.49,an8.49
an8.50,an8.50
an5.249,an5.249
an8.47,an8.47
an4.73,an4.73
an8.75,an8.75
mn133,mn133
sn55.28,sn55.28
sn55.26,sn55.26
mnd13,mnd13
sn55.27,sn55.27
sn55.25,sn55.25
sn55.23,sn55.23
sn55.22,sn55.22
an10.67,an10.67
an10.92,an10.92
an5.174,an5.174
ds2.3.1,ds2.3.1
sn12.41,sn12.41
sn14.36,sn14.36
sn14.25,sn14.25
sn22.26,sn22.26
an8.22,an8.22
sn12.37,sn12.37
mnd15,mnd15
sn56.9,sn56.9
thag1.83,thag1.83
mn125,mn125
thi-ap3,thi-ap3
an10.177,an10.177
sn45.40,sn45.40
sn45.38,sn45.38
sn45.39,sn45.39
dn28,dn28
sn45.33,sn45.33
sn45.35,sn45.35
sn45.32,sn45.32
sn45.31,sn45.31
sn14.26,sn14.26
sn14.28,sn14.28
sn14.29,sn14.29
sn14.27,sn14.27
patthana23.39,patthana23.39
sn14.23,sn14.23
sn14.17,sn14.17
sn14.22,sn14.22
mn126,mn126
sn51.33-44,sn51.33-44
sn49.1-12,sn49.1-12
sn50.1-12,sn50.1-12
vv36,vv36
kv17.1,kv17.1
sn30.7-16,sn30.7-16
sn30.17-46,sn30.17-46
sn29.11-20,sn29.11-20
sn30.4-6,sn30.4-6
an1.170-187,an1.170-187
sn29.10,sn29.10
sn29.21-50,sn29.21-50
sn30.3,sn30.3
an4.124,an4.124
kv7.4,kv7.4
sn31.13-22,sn31.13-22
sn31.23-112,sn31.23-112
sn35.248,sn35.248
sn24.96,sn24.96
sn24.71,sn24.71
sn24.37,sn24.37
mn80,mn80
sn22.85,sn22.85
tha-ap265,tha-ap265
tha-ap165,tha-ap165
tha-ap231,tha-ap231
tha-ap98,tha-ap98
tha-ap203,tha-ap203
tha-ap230,tha-ap230
tha-ap216,tha-ap216
tha-ap447,tha-ap447
an6.55,an6.55
an4.122,an4.122
mn82,mn82
sn52.8,sn52.8
vv84,vv84
pli-tv-pvr18,pli-tv-pvr18
an7.56,an7.56
sn52.1,sn52.1
sn52.2,sn52.2
an3.91,an3.91
an3.15,an3.15
mil5.1.1,mil5.1.1
ya8.1.1,ya8.1.1
thag16.10,thag16.10
iti31,iti31
mn105,mn105
sn40.4,sn40.4
tha-ap408,tha-ap408
sn47.6,sn47.6
mn99,mn99
sn56.39,sn56.39
thag13.1,thag13.1
kv1.2,kv1.2
an5.192,an5.192
mn34,mn34
sn45.62,sn45.62
sn45.76,sn45.76
sn56.53,sn56.53
sn13.3,sn13.3
sn13.4,sn13.4
sn56.54,sn56.54
sn54.1,sn54.1
an7.32,an7.32
sn42.1,sn42.1
sn48.1,sn48.1
sn47.5,sn47.5
sn55.1,sn55.1
sn22.80,sn22.80
an10.106,an10.106
mn118,mn118
sn54.16,sn54.16
sn54.13,sn54.13
thag2.48,thag2.48
sn10.10,sn10.10
sn10.11,sn10.11
sn10.9,sn10.9
thig5.9,thig5.9
tha-ap199,tha-ap199
tha-ap9,tha-ap9
tha-ap51,tha-ap51
tha-ap44,tha-ap44
an10.89,an10.89
tha-ap511,tha-ap511
tha-ap506,tha-ap506
tha-ap510,tha-ap510
an5.200,an5.200
tha-ap468,tha-ap468
an10.130,an10.130
kv21.8,kv21.8
an10.131,an10.131
an10.126,an10.126
an10.128,an10.128
an10.125,an10.125
dt2.6,dt2.6
an10.124,an10.124
an10.123,an10.123
sn14.32,sn14.32
an3.104,an3.104
kv3.8,kv3.8
sn35.15,sn35.15
sn45.15,sn45.15
sn45.17,sn45.17
sn46.10,sn46.10
an7.48,an7.48
sn34.17,sn34.17
an7.52,an7.52
sn22.55,sn22.55
an7.46,an7.46
an7.49,an7.49
ds2.1.4,ds2.1.4
ud3.2,ud3.2
ds2.1.1,ds2.1.1
vb15,vb15
ne6,ne6
dn13,dn13
ds2.1.5,ds2.1.5
an4.237,an4.237
ds2.1.3,ds2.1.3
ds2.1.7,ds2.1.7
mn1,mn1
mn61,mn61
sn5.2,sn5.2
vv81,vv81
patthana4.6,patthana4.6
an10.223,an10.223
vb13,vb13
an5.201,an5.201
sn33.31-35,sn33.31-35
sn33.46-50,sn33.46-50
an9.46,an9.46
sn15.19,sn15.19
sn15.14,sn15.14
sn15.16,sn15.16
an10.62,an10.62
sn15.2,sn15.2
sn15.8,sn15.8
sn22.50,sn22.50
thag1.70,thag1.70
thag1.27,thag1.27
mil7.3.4,mil7.3.4
mil7.3.7,mil7.3.7
mil7.5.3,mil7.5.3
mil7.7.2,mil7.7.2
mn10,mn10
an6.29,an6.29
an9.35,an9.35
sn35.127,sn35.127
sn51.20,sn51.20
ya5.1.2,ya5.1.2
an3.103,an3.103
an5.92,an5.92
mil3.2.3,mil3.2.3
mn13,mn13
ds2.3.3,ds2.3.3
vb8,vb8
an8.80,an8.80
patthana22.32,patthana22.32
patthana9.15,patthana9.15
ne8,ne8
ds2.4.1,ds2.4.1
sn51.28,sn51.28
an5.86,an5.86
sn35.238,sn35.238
mn51,mn51
cnd10,cnd10
mnd1,mnd1
cnd12,cnd12
an10.11,an10.11
vb10,vb10
vb11,vb11
vb18,vb18
tha-ap64,tha-ap64
patthana18.1,patthana18.1
cp10,cp10
patthana3.3,patthana3.3
mnd6,mnd6
mn145,mn145
snp5.13,snp5.13
